省,省代码,市,市代码,区(县),区(县)代码
北京市,11,市辖区,01,东城区,01
北京市,11,市辖区,01,西城区,02
北京市,11,市辖区,01,崇文区,03
北京市,11,市辖区,01,宣武区,04
北京市,11,市辖区,01,朝阳区,05
北京市,11,市辖区,01,丰台区,06
北京市,11,市辖区,01,石景山区,07
北京市,11,市辖区,01,海淀区,08
北京市,11,市辖区,01,门头沟区,09
北京市,11,市辖区,01,房山区,10
北京市,11,市辖区,01,通州区,11
北京市,11,市辖区,01,顺义区,12
北京市,11,市辖区,01,昌平区,13
北京市,11,市辖区,01,大兴区,14
北京市,11,市辖区,01,怀柔区,15
北京市,11,市辖区,01,平谷区,16
北京市,11,市辖区,01,京城,17
北京市,11,市辖区,01,燕山区,18
北京市,11,县,02,昌平县,21
北京市,11,县,02,顺义县,22
北京市,11,县,02,通县,23
北京市,11,县,02,大兴县,24
北京市,11,县,02,平谷县,26
北京市,11,县,02,怀柔县,27
北京市,11,县,02,密云县,28
北京市,11,县,02,延庆县,29
天津市,12,市辖区,01,和平区,01
天津市,12,市辖区,01,河东区,02
天津市,12,市辖区,01,河西区,03
天津市,12,市辖区,01,南开区,04
天津市,12,市辖区,01,河北区,05
天津市,12,市辖区,01,红桥区,06
天津市,12,市辖区,01,塘沽区,07
天津市,12,市辖区,01,汉沽区,08
天津市,12,市辖区,01,大港区,09
天津市,12,市辖区,01,东丽区,10
天津市,12,市辖区,01,西青区,11
天津市,12,市辖区,01,津南区,12
天津市,12,市辖区,01,北辰区,13
天津市,12,市辖区,01,武清区,14
天津市,12,市辖区,01,宝坻区,15
天津市,12,县,02,宁河县,21
天津市,12,县,02,静海县,23
天津市,12,县,02,蓟县,25
河北省,13,石家庄市,01,市辖区,01
河北省,13,石家庄市,01,长安区,02
河北省,13,石家庄市,01,桥东区,03
河北省,13,石家庄市,01,桥西区,04
河北省,13,石家庄市,01,新华区,05
河北省,13,石家庄市,01,井陉矿区,07
河北省,13,石家庄市,01,裕华区,08
河北省,13,石家庄市,01,井陉县,21
河北省,13,石家庄市,01,正定县,23
河北省,13,石家庄市,01,栾城县,24
河北省,13,石家庄市,01,行唐县,25
河北省,13,石家庄市,01,灵寿县,26
河北省,13,石家庄市,01,高邑县,27
河北省,13,石家庄市,01,深泽县,28
河北省,13,石家庄市,01,赞皇县,29
河北省,13,石家庄市,01,无极县,30
河北省,13,石家庄市,01,平山县,31
河北省,13,石家庄市,01,元氏县,32
河北省,13,石家庄市,01,赵县,33
河北省,13,石家庄市,01,辛集市,81
河北省,13,石家庄市,01,藁城市,82
河北省,13,石家庄市,01,晋州市,83
河北省,13,石家庄市,01,新乐市,84
河北省,13,石家庄市,01,鹿泉市,85
河北省,13,唐山市,02,市辖区,01
河北省,13,唐山市,02,路南区,02
河北省,13,唐山市,02,路北区,03
河北省,13,唐山市,02,古冶区,04
河北省,13,唐山市,02,开平区,05
河北省,13,唐山市,02,丰南区,07
河北省,13,唐山市,02,丰润区,08
河北省,13,唐山市,02,滦县,23
河北省,13,唐山市,02,滦南县,24
河北省,13,唐山市,02,乐亭县,25
河北省,13,唐山市,02,迁西县,27
河北省,13,唐山市,02,玉田县,29
河北省,13,唐山市,02,唐海县,30
河北省,13,唐山市,02,遵化市,81
河北省,13,唐山市,02,迁安市,83
河北省,13,秦皇岛市,03,市辖区,01
河北省,13,秦皇岛市,03,海港区,02
河北省,13,秦皇岛市,03,山海关区,03
河北省,13,秦皇岛市,03,北戴河区,04
河北省,13,秦皇岛市,03,青龙满族自治县,21
河北省,13,秦皇岛市,03,昌黎县,22
河北省,13,秦皇岛市,03,抚宁县,23
河北省,13,秦皇岛市,03,卢龙县,24
河北省,13,邯郸市,04,市辖区,01
河北省,13,邯郸市,04,邯山区,02
河北省,13,邯郸市,04,丛台区,03
河北省,13,邯郸市,04,复兴区,04
河北省,13,邯郸市,04,峰峰矿区,06
河北省,13,邯郸市,04,邯郸县,21
河北省,13,邯郸市,04,临漳县,23
河北省,13,邯郸市,04,成安县,24
河北省,13,邯郸市,04,大名县,25
河北省,13,邯郸市,04,涉县,26
河北省,13,邯郸市,04,磁县,27
河北省,13,邯郸市,04,肥乡县,28
河北省,13,邯郸市,04,永年县,29
河北省,13,邯郸市,04,邱县,30
河北省,13,邯郸市,04,鸡泽县,31
河北省,13,邯郸市,04,广平县,32
河北省,13,邯郸市,04,馆陶县,33
河北省,13,邯郸市,04,魏县,34
河北省,13,邯郸市,04,曲周县,35
河北省,13,邯郸市,04,武安市,81
河北省,13,邢台市,05,市辖区,01
河北省,13,邢台市,05,桥东区,02
河北省,13,邢台市,05,桥西区,03
河北省,13,邢台市,05,邢台县,21
河北省,13,邢台市,05,临城县,22
河北省,13,邢台市,05,内丘县,23
河北省,13,邢台市,05,柏乡县,24
河北省,13,邢台市,05,隆尧县,25
河北省,13,邢台市,05,任县,26
河北省,13,邢台市,05,南和县,27
河北省,13,邢台市,05,宁晋县,28
河北省,13,邢台市,05,巨鹿县,29
河北省,13,邢台市,05,新河县,30
河北省,13,邢台市,05,广宗县,31
河北省,13,邢台市,05,平乡县,32
河北省,13,邢台市,05,威县,33
河北省,13,邢台市,05,清河县,34
河北省,13,邢台市,05,临西县,35
河北省,13,邢台市,05,南宫市,81
河北省,13,邢台市,05,沙河市,82
河北省,13,保定市,06,市辖区,01
河北省,13,保定市,06,新市区,02
河北省,13,保定市,06,北市区,03
河北省,13,保定市,06,南市区,04
河北省,13,保定市,06,满城县,21
